STATE,RATE,DEATHS
AL,234.2,14958
AK,145.7,1013
AZ,148.5,14593
AR,224.1,8664
CA,142.4,66340
CO,131.4,8389
CT,137.8,6899
DE,156.8,2220
District of Columbia,182.6,1239
FL,140.9,49877
GA,183.9,21728
HI,128.4,2862
ID,156.3,3491
IL,166.6,26781
IN,185,15385
IA,176.8,7786
KS,173.2,6440
KY,208.6,11654
LA,224,12284
ME,167.1,3592
MD,155.8,12086
MA,132.3,12427
MI,206.3,27266
MN,124.1,9175
MS,248,8858
MO,199.8,16143
MT,165.9,2539
NE,154.3,3804
NV,196.8,7337
NH,147.5,2951
NJ,152.8,18707
NM,156.8,4369
NY,159.2,43237
NC,165.8,21763
ND,155,1538
OH,193.9,30041
OK,257.1,12268
OR,145.4,8152
PA,173.4,32522
RI,152.6,2369
SC,177.7,12038
SD,158.2,1850
TN,218.3,18727
TX,172.3,50672
UT,159.4,4460
VT,165.1,1589
VA,159.2,16902
WA,142.7,13218
WV,209.5,5399
WI,166.6,13128
WY,157.1,1150